-BEGIN HEADER-,,
NASA/POWER CERES/MERRA2 Native Resolution Daily Data ,,
Dates (month/day/year): 01/01/2022 through 03/31/2022 ,,
Location: Latitude  40.751   Longitude -92.4144 ,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 245.0 meters,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,
Parameter(s): ,,
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) ,,
-END HEADER-,,
YEAR,DOY,PRECTOTCORR
2022,1,19.93
2022,2,0.01
2022,3,0
2022,4,0.16
2022,5,0.02
2022,6,0
2022,7,0
2022,8,0.15
2022,9,0.07
2022,10,0.36
2022,11,0
2022,12,0
2022,13,0.02
2022,14,10.16
2022,15,4.17
2022,16,0.08
2022,17,0
2022,18,0.01
2022,19,0
2022,20,0
2022,21,0.05
2022,22,0
2022,23,0
2022,24,0
2022,25,0
2022,26,0
2022,27,0
2022,28,0
2022,29,0
2022,30,0.18
2022,31,0
2022,32,0.09
2022,33,0.46
2022,34,0.01
2022,35,0
2022,36,0
2022,37,0.54
2022,38,0
2022,39,0
2022,40,0
2022,41,0.46
2022,42,2.61
2022,43,0.1
2022,44,0.05
2022,45,0
2022,46,0.02
2022,47,3.56
2022,48,0.57
2022,49,0.27
2022,50,0
2022,51,0
2022,52,0.49
2022,53,0.92
2022,54,0.03
2022,55,2.19
2022,56,0.3
2022,57,0
2022,58,0
2022,59,0
2022,60,0
2022,61,0
2022,62,0.01
2022,63,0.19
2022,64,7.13
2022,65,7.48
2022,66,1.63
2022,67,0
2022,68,0
2022,69,1.57
2022,70,0
2022,71,0
2022,72,0
2022,73,0
2022,74,0.01
2022,75,0
2022,76,0.47
2022,77,15.52
2022,78,0.04
2022,79,0
2022,80,3.21
2022,81,20.79
2022,82,3.75
2022,83,2.93
2022,84,0.03
2022,85,0.02
2022,86,0
2022,87,0
2022,88,2.61
2022,89,12.39
2022,90,1.22
